,國文,英文,數學,社會,自然
0,14,6,11,7,11
1,8,10,14,15,15
2,14,8,11,15,8
3,7,12,8,11,14
4,6,10,6,10,11
5,15,6,10,9,6
6,15,6,13,8,6
7,11,14,14,9,11
8,12,14,14,14,8
9,8,8,10,11,14
10,7,14,12,6,15
11,15,15,6,15,8
12,11,8,14,14,11
13,14,13,12,15,11
14,7,8,15,9,9
15,13,9,6,8,11
16,12,10,14,7,7
17,14,6,9,13,14
18,14,11,11,11,11
19,6,6,7,10,6
20,15,13,15,10,6
21,10,8,13,8,6
22,7,14,7,13,12
23,6,6,9,11,12
24,15,13,11,7,15
25,7,6,15,13,11
26,14,6,8,11,14
27,15,8,15,14,14
28,11,8,11,14,7
29,8,7,10,14,15
30,14,11,6,15,14
31,10,15,11,15,9
32,14,14,14,11,9
33,7,11,8,8,11
34,6,9,14,10,10
35,12,7,12,6,15
36,7,8,9,6,6
37,9,15,8,12,13
38,14,9,10,6,10
39,9,7,10,11,11
40,7,12,7,11,6
41,11,12,11,8,6
42,14,10,8,15,8
43,7,13,11,8,9
44,14,8,10,14,11
45,10,15,15,10,10
46,8,6,15,7,13
47,7,12,13,8,8
48,9,11,7,14,10
49,9,14,8,12,14
50,6,13,13,7,11
51,7,7,15,10,7
52,7,8,12,10,10
53,10,11,10,7,14
54,11,9,7,14,8
55,8,9,10,7,15
56,10,8,14,8,11
57,9,11,15,7,10
58,11,9,8,11,6
59,14,8,15,6,12
60,9,12,6,8,11
61,15,6,11,13,9
62,12,13,10,13,8
63,15,14,14,7,15
64,14,12,10,15,15
65,11,8,13,7,15
66,6,9,11,13,6
67,6,7,6,10,14
68,6,14,12,15,6
69,10,6,11,6,12
70,13,14,13,8,12
71,14,14,11,14,11
72,6,11,8,13,9
73,9,10,6,10,7
74,12,15,7,6,11
75,8,10,12,9,12
76,15,7,10,14,12
77,10,7,11,13,14
78,14,8,13,10,12
79,13,6,15,10,11
80,6,10,15,12,10
81,8,7,14,10,14
82,8,10,8,14,9
83,15,8,8,12,7
84,7,11,13,12,7
85,7,10,13,8,12
86,10,12,10,6,12
87,13,13,8,13,6
88,13,9,10,10,15
89,13,13,12,7,9
90,13,15,13,14,14
91,14,12,6,7,15
92,13,10,10,7,13
93,11,13,15,12,13
94,12,6,13,7,8
95,14,13,15,11,13
96,15,7,13,13,11
97,15,6,13,6,6
98,8,6,9,15,6
99,12,14,9,9,10
