國文,英文,數學,社會,自然
10,10,6,9,8
6,10,13,12,10
7,12,14,13,8
7,13,8,6,7
9,7,14,7,15
10,11,15,13,13
11,12,11,14,10
7,8,13,12,6
15,10,15,10,12
14,10,12,13,15
14,12,14,15,11
11,12,10,14,8
9,7,8,12,11
10,8,10,15,9
14,8,14,7,13
7,7,10,7,7
7,9,12,14,10
14,6,15,7,7
14,15,6,12,10
10,7,15,13,10
14,14,10,11,8
14,10,9,12,8
6,15,11,13,7
6,8,8,10,13
8,14,9,9,15
9,11,8,6,9
10,8,9,10,7
8,6,9,7,10
8,11,11,14,13
8,15,15,13,12
10,8,11,10,6
6,8,15,12,14
15,7,6,11,12
14,14,10,10,6
9,11,10,6,15
13,13,10,6,15
14,11,12,8,8
8,7,15,12,13
13,8,14,7,11
7,11,15,10,10
9,12,14,8,13
13,8,8,13,10
13,13,14,7,15
6,10,10,10,6
15,8,15,9,10
8,7,14,10,12
14,8,13,6,11
12,8,14,9,8
12,12,8,9,9
12,14,9,8,8
12,14,13,13,6
15,12,11,11,10
14,13,15,14,13
13,6,13,6,13
7,9,6,8,8
11,13,10,8,14
13,9,14,10,12
9,10,15,9,8
14,7,11,13,8
14,9,7,15,13
14,8,14,6,15
8,7,14,11,15
8,7,12,15,12
15,12,7,9,10
7,14,11,12,10
8,6,9,15,14
13,15,15,14,13
10,15,8,11,9
10,14,15,9,9
15,13,11,7,8
7,15,13,12,14
15,13,10,11,15
9,10,6,14,12
10,15,12,11,13
11,13,9,6,8
15,10,10,10,10
9,8,10,11,7
7,13,13,15,11
12,15,9,6,11
12,10,12,12,13
14,13,14,13,10
7,10,13,7,14
13,7,14,14,7
14,10,13,13,12
8,6,11,6,15
15,13,11,8,15
11,7,6,14,14
7,13,11,15,6
15,10,6,7,9
7,10,11,7,14
8,7,15,6,6
13,13,14,12,7
6,14,13,15,9
11,14,12,14,9
14,14,13,8,11
6,7,9,11,7
7,13,7,14,15
11,9,12,10,14
12,7,14,11,11
8,12,6,12,13
